municipality_code,municipality_name,voters_listed,envelopes_issued,valid_votes,Občanská demokratická strana,Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana
554499,Aš,9766,4289,4254,276,37,219,169,369,155,53,43,16,20,373
554502,Dolní Žandov,943,532,528,31,3,23,21,93,3,10,6,0,0,52
554511,Drmoul,769,486,481,49,2,22,42,31,2,3,6,0,0,51
554529,Františkovy Lázně,4700,2905,2886,340,7,173,122,205,36,27,29,5,22,337
554545,Hazlov,1239,638,626,37,1,29,25,77,6,10,12,1,2,53
554553,Hranice,1677,706,698,41,3,58,12,79,16,18,7,1,4,67
554481,Cheb,23954,12225,12153,934,57,905,935,1197,195,70,125,23,23,1141
538795,Krásná,474,264,262,5,0,11,14,20,6,2,1,2,4,20
554596,Křižovatka,210,118,118,3,1,17,9,19,0,2,0,0,0,2
554600,Lázně Kynžvart,1228,613,608,49,5,46,19,71,9,3,4,0,0,81
554618,Libá,592,301,297,27,2,22,16,28,0,2,2,1,2,39
554626,Lipová,586,299,297,22,2,15,18,23,3,1,8,0,1,22
554634,Luby,1809,852,843,49,2,78,34,63,10,15,4,10,1,69
554642,Mariánské Lázně,10572,5720,5675,686,26,369,177,391,58,30,65,5,8,1046
554651,Milhostov,244,82,82,2,0,8,4,4,0,0,0,0,0,3
538906,Milíkov,223,141,141,17,1,7,14,14,2,1,5,0,0,15
554677,Mnichov,335,137,135,4,0,5,4,25,0,7,1,0,1,23
554693,Nebanice,278,162,159,6,0,12,19,28,2,4,4,0,0,7
554707,Nový Kostel,410,221,221,8,0,38,2,15,2,2,0,1,0,12
539554,Odrava,185,99,99,10,1,6,11,7,3,1,2,0,0,8
538922,Okrouhlá,199,108,107,7,0,8,6,12,1,2,7,0,1,7
539473,Ovesné Kladruby,97,52,52,7,1,1,0,3,3,1,0,0,0,18
554740,Plesná,1565,723,719,34,3,101,18,73,5,9,5,6,0,45
538817,Podhradí,164,79,79,8,1,2,2,7,1,0,3,0,0,3
538868,Pomezí nad Ohří,206,132,131,8,0,7,17,16,0,0,1,0,0,16
577979,Poustka,122,80,79,6,1,5,9,11,1,0,1,0,1,6
539538,Prameny,92,59,57,3,0,1,2,1,0,1,0,0,1,12
554812,Skalná,1511,777,770,59,1,83,24,56,7,5,4,2,0,60
539112,Stará Voda,389,196,196,7,0,11,6,33,4,1,2,0,0,21
555631,Teplá,2365,1058,1046,80,4,80,22,170,8,8,12,0,7,102
554855,Trstěnice,301,165,165,11,0,5,11,26,1,1,0,0,0,20
539023,Třebeň,326,206,203,15,0,5,13,22,2,1,1,2,0,22
554880,Tři Sekery,748,393,384,47,2,17,4,25,0,2,4,0,0,91
539619,Tuřany,110,73,73,9,0,5,7,5,0,0,1,0,0,5
539481,Valy,384,241,240,21,2,9,11,9,1,2,2,0,0,32
539279,Velká Hleďsebe,1816,1039,1027,130,7,78,44,78,6,6,11,0,2,154
578002,Velký Luh,127,67,66,5,0,2,11,11,1,1,0,0,0,4
539376,Vlkovice,104,72,72,1,2,5,2,8,0,3,0,1,0,10
539074,Vojtanov,168,102,102,3,0,2,4,13,0,2,1,0,0,6
539431,Zádub-Závišín,274,165,164,27,0,5,9,10,0,0,2,0,0,20
